latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.0,83.875,1000.0,25200,Asia/Bangkok,+07

time,temperature_2m (°C),relative_humidity_2m (%),precipitation_probability (%),precipitation (mm),pressure_msl (hPa),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_80m (km/h),wind_speed_120m (km/h),wind_speed_180m (km/h),soil_moisture_0_to_1cm (m³/m³),soil_moisture_1_to_3cm (m³/m³),soil_moisture_3_to_9cm (m³/m³),soil_moisture_9_to_27cm (m³/m³),soil_moisture_27_to_81cm (m³/m³)
2024-11-25T00:00,13.1,92,3,0.00,1016.6,903.4,4.1,1.8,1.5,2.2,0.095,0.099,0.116,0.141,0.173
2024-11-25T01:00,12.4,94,18,0.00,1016.7,903.3,5.2,2.3,2.9,3.5,0.106,0.102,0.116,0.141,0.173
2024-11-25T02:00,12.9,91,25,0.00,1016.8,903.6,6.1,5.5,4.7,3.7,0.108,0.103,0.116,0.141,0.173
2024-11-25T03:00,12.9,92,25,0.20,1017.3,904.0,5.8,6.1,5.6,4.0,0.128,0.104,0.116,0.141,0.173
2024-11-25T04:00,12.8,93,33,0.50,1016.9,903.6,4.3,5.1,5.1,4.1,0.160,0.110,0.116,0.141,0.173
2024-11-25T05:00,12.5,95,35,0.40,1016.9,903.5,4.0,5.1,4.9,3.9,0.179,0.121,0.116,0.141,0.173
2024-11-25T06:00,12.4,95,15,0.50,1016.4,903.0,3.6,4.3,4.4,3.3,0.192,0.135,0.116,0.141,0.173
2024-11-25T07:00,12.8,92,8,0.20,1016.8,903.5,3.8,4.3,4.4,3.6,0.158,0.129,0.116,0.141,0.172
2024-11-25T08:00,12.5,93,5,0.00,1016.8,903.4,4.1,4.4,3.9,3.5,0.151,0.133,0.117,0.141,0.172
2024-11-25T09:00,13.2,91,5,0.00,1017.7,904.4,3.6,4.1,3.4,3.7,0.146,0.135,0.117,0.141,0.172
2024-11-25T10:00,15.4,81,3,0.00,1017.8,905.3,1.1,1.3,1.8,1.9,0.142,0.135,0.118,0.141,0.172
2024-11-25T11:00,17.5,72,0,0.00,1017.8,906.1,1.1,1.1,0.8,0.7,0.137,0.135,0.118,0.141,0.172
2024-11-25T12:00,18.9,65,0,0.00,1016.7,905.6,3.1,3.0,3.0,2.5,0.133,0.133,0.118,0.140,0.172
2024-11-25T13:00,20.0,62,0,0.00,1015.3,904.8,5.6,5.9,5.9,5.7,0.129,0.132,0.118,0.140,0.172
2024-11-25T14:00,20.7,58,0,0.00,1014.2,904.0,7.1,7.4,7.4,7.4,0.125,0.131,0.118,0.140,0.172
2024-11-25T15:00,21.1,55,0,0.00,1013.4,903.4,8.4,8.9,8.7,8.7,0.121,0.129,0.118,0.139,0.172
2024-11-25T16:00,20.6,55,0,0.00,1012.8,902.7,10.5,11.3,11.3,11.2,0.118,0.127,0.117,0.139,0.172
